Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Lista_deseos,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida,Vol(ml)_num,Precio/ml
Solo Loewe Ella EDP,Loewe,Perfumes de Mujer,Mujer,4.92,13,100,97.95,2000,EDP,Vaporizador,Floral,"Rosa de Damasco, Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Ámbar, Cedro de Virginia, Madera Blanca","Naranja Amarga, Pera, Manzana, Durazno",100.0,0.9795
Solo Loewe Ella EDP,Loewe,Perfumes de Mujer,Mujer,4.92,13,30,45.95,2000,EDP,Vaporizador,Floral,"Rosa de Damasco, Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Ámbar, Cedro de Virginia, Madera Blanca","Naranja Amarga, Pera, Manzana, Durazno",30.0,1.5316666666666667
Solo Loewe Ella EDP,Loewe,Perfumes de Mujer,Mujer,4.92,13,50,64.95,2000,EDP,Vaporizador,Floral,"Rosa de Damasco, Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Ámbar, Cedro de Virginia, Madera Blanca","Naranja Amarga, Pera, Manzana, Durazno",50.0,1.2990000000000002
Solo Loewe Ella EDP,Loewe,Perfumes de Mujer,Mujer,4.92,13,100,97.95,2000,EDP,Vaporizador,Floral,"Rosa de Damasco, Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Ámbar, Cedro de Virginia, Madera Blanca","Naranja Amarga, Pera, Manzana, Durazno",100.0,0.9795
Agua Lavanda Colonia,Puig,Aguas de colonia (EDC),(Edc),4.59,17,750 ml,4.49,,EDT,,,,,,,
 Scandal Le Parfum Eau de Parfum Intense ,Jean Paul Gaultier,Perfumes de Mujer,Mujer,5.0,1,30,49.94,3000,EDP,Frasco,Ámbar Floral,Caramelo,Vainilla,Jazmín,30.0,1.6646666666666665
 Scandal Le Parfum Eau de Parfum Intense ,Jean Paul Gaultier,Perfumes de Mujer,Mujer,5.0,1,50,72.94,3000,EDP,Frasco,Ámbar Floral,Caramelo,Vainilla,Jazmín,50.0,1.4587999999999999
 Scandal Le Parfum Eau de Parfum Intense ,Jean Paul Gaultier,Perfumes de Mujer,Mujer,5.0,1,80,92.94,3000,EDP,Frasco,Ámbar Floral,Caramelo,Vainilla,Jazmín,80.0,1.16175
 Scandal Le Parfum Eau de Parfum Intense ,Jean Paul Gaultier,Perfumes de Mujer,Mujer,5.0,1,30,49.94,3000,EDP,Frasco,Ámbar Floral,Caramelo,Vainilla,Jazmín,30.0,1.6646666666666665
 Scandal Le Parfum Eau de Parfum Intense ,Jean Paul Gaultier,Perfumes de Mujer,Mujer,5.0,1,50,72.94,3000,EDP,Frasco,Ámbar Floral,Caramelo,Vainilla,Jazmín,50.0,1.4587999999999999
 Scandal Le Parfum Eau de Parfum Intense ,Jean Paul Gaultier,Perfumes de Mujer,Mujer,5.0,1,80,92.94,3000,EDP,Frasco,Ámbar Floral,Caramelo,Vainilla,Jazmín,80.0,1.16175
Solo Loewe Ella EDT,Loewe,Perfumes de Mujer,Mujer,4.86,14,30,38.95,1000,EDT,Vaporizador,Floral Frutal,"Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Cedro, Ámbar, Madera","Naranja Amarga, Pera, Manzana, Durazno",30.0,1.2983333333333333
Solo Loewe Ella EDT,Loewe,Perfumes de Mujer,Mujer,4.86,14,50,58.95,1000,EDT,Vaporizador,Floral Frutal,"Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Cedro, Ámbar, Madera","Naranja Amarga, Pera, Manzana, Durazno",50.0,1.179
Solo Loewe Ella EDT,Loewe,Perfumes de Mujer,Mujer,4.86,14,100,84.95,1000,EDT,Vaporizador,Floral Frutal,"Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Cedro, Ámbar, Madera","Naranja Amarga, Pera, Manzana, Durazno",100.0,0.8495
English Lavender EDT,Atkinsons,Eau de toilette (EDT),(Edt),4.82,49,75,18.95,117,EDT,Vaporizador,Floral,"Salvia, Palo de Rosa","Almizcle, Haba Tonka, Musgo","Bergamota, Lavanda, Romero",75.0,0.25266666666666665
English Lavender EDT,Atkinsons,Eau de toilette (EDT),(Edt),4.82,49,150,19.95,117,EDT,Vaporizador,Floral,"Salvia, Palo de Rosa","Almizcle, Haba Tonka, Musgo","Bergamota, Lavanda, Romero",150.0,0.133
English Lavender EDT,Atkinsons,Eau de toilette (EDT),(Edt),4.82,49,620,55.95,117,EDT,Vaporizador,Floral,"Salvia, Palo de Rosa","Almizcle, Haba Tonka, Musgo","Bergamota, Lavanda, Romero",620.0,0.09024193548387097
Perfect Woman Bloom Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,,,30,2.99,63,EDP,Frasco,Floral,"Violeta, Rosa, Cachemira","Vainilla, Almizcle, Sándalo","Mandarina, Mora, Notas Especiadas",30.0,0.09966666666666667
Perfect Woman Bloom Eau de Parfum,Saphir,Perfumes de Mujer,Mujer,,,200,13.9,63,EDP,Frasco,Floral,"Violeta, Rosa, Cachemira","Vainilla, Almizcle, Sándalo","Mandarina, Mora, Notas Especiadas",200.0,0.0695
